id,pageid,pagename,created_time,created_time_stamp,reviewer_name,reviewer_email,company_name,company_title,company_url,reviewer_id,rating,recommendation_type,review_text,hide,review_length,review_length_char,type,userpic,userpic_small,from_name,from_url,from_logo,from_url_review,review_title,categories,posts,consent,userpiclocal,hidestars,miscpic,location,verified_order,language_code,unique_id,meta_data,custom_data,custom_stars,owner_response,sort_weight,tags,mediaurlsarrayjson,mediathumburlsarrayjson,reviewfunnel,translateparent,last_modified
1,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2024-04-02 00:00:00",1712016000,"Verified traveler",,,,,29779664014,5,,"This cabin has a great set of amenities and is really well maintained. We've stayed here multiple times and the experience was always very positive.",,25,148,VRBO,,,,https://www.vrbo.com/1473621,,,"Great cabin in Northstar community.",,,,,,,,,en,660b556b4fff6f289aa9dbc0,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""1e19c846-ba97-375b-946e-52f4b0b89059""}",,,"{""id"":1769061421,""name"":""Official Response"",""date"":""2024-07-21"",""comment"":""Thanks for the kind words, Michael!""}",0,,,,yes,,"0000-00-00 00:00:00"
2,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2024-02-29 00:00:00",1709164800,"Erin C.",,,,,29779664015,5,,"My family and I stayed at Laura’s cabin this last weekend and had an incredible stay. The house is big enough to really sprawl out in, especially with the kids! We loved that we were right on the Northstar shuttle line, that was very convenient. Laura was incredibly supportive and communicative throughout our entire stay. 5/5 would highly recommend!",,59,351,VRBO,,,,https://www.vrbo.com/1473621,,,"Incredible stay and great host",,,,,,,,,en,65e03eb3ff2d23416a32dea8,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""68a207bc-1dd3-377b-b511-f93be980b1ea""}",,,"{""id"":1769061422,""name"":""Official Response"",""date"":""2024-07-21"",""comment"":""Glad you enjoyed your stay and thank you for the kind words!""}",0,,,,yes,,"0000-00-00 00:00:00"
3,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2024-02-20 00:00:00",1708387200,"Tana K.",,,,,29779664018,5,,"We really enjoyed our time. The house was clean and well equipped with supplies. The host was very helpful and communication was easy. Highly recommend.",,25,152,VRBO,,,,https://www.vrbo.com/1473621,,,"Great stay",,,,,,,,,en,65d4044b09feed448cd2e5de,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""0bfa9630-8cb5-3dc3-a5f7-c4fa97d35254""}",,,"{""id"":1769061423,""name"":""Official Response"",""date"":""2024-07-21"",""comment"":""Glad you had a great time! Thank you for your business, Tana!""}",0,,,,yes,,"0000-00-00 00:00:00"
4,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2023-04-14 00:00:00",1681430400,"Gordon D.",,,,,29779664020,5,,"Our experience renting this house went beyond expectations. It has everything you need and much more. Hot tub, backyard sledding (sleds included) free shuttle to/from Northstar, enough beds and seating for our extended family (11 of us!). Check in and check out were easy and detailed instructions for hot tub, fireplace etc. made everything super clear. Laura was an amazing host, extremely responsive and was available by text. I highly recommend this rental home and hope to stay again in the future!",,82,503,VRBO,,,,https://www.vrbo.com/1473621,,,"Beyond expectations",,,,,,,,,en,6438d181c0910512c1dfea5b,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""708f6851-6554-33f6-84ea-f3b931e90eca""}",,,"{""id"":1769061424,""name"":""Official Response"",""date"":""2024-07-21"",""comment"":""So glad you enjoyed the home, Gordon! We would loved to host you again. Thanks for the kind words.""}",0,,,,yes,,"0000-00-00 00:00:00"
5,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2023-03-08 00:00:00",1678233600,"Verified traveler",,,,,29779664022,5,,"This cozy cabin was great for our group and the host was easy to work with. The kitchen in particular was very well appointed with everything one would need to cook a nice meal.",,34,177,VRBO,,,,https://www.vrbo.com/1473621,,,"Nicely Appointed Home",,,,,,,,,en,6408c92491d8cf029f0318f4,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""f749f0a7-115d-3c82-9da3-840c37536a6e""}",,,,0,,,,yes,,"0000-00-00 00:00:00"
6,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2023-01-06 00:00:00",1672963200,"Roberta W.",,,,,29779664024,5,,"This fabulous home has it all! It is spacious, comfortable, clean, and is by far e most well appointed and well thought out vacation space we have ever stayed in! I love this host’s attention to detail with lists of what is available (like a blender and sleds in the garage for snow play) so one can pack and plan meals and activities appropriately. We enjoyed watching it snow while sitting in front of the fire, sledded down the hill in the backyard, took the shuttle to ski at Northstar, and relaxed in the hot tub underneath the stars. Our host was responsive, and helpful in every way. Each member of our party, from age 3 to 60 had a fabulous time!",,121,654,VRBO,,,,https://www.vrbo.com/1473621,,,"BEST EVER",,,,,,,,,en,63b79d5eb7fbcb7a8b8eb329,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""15426279-51eb-32c2-a7ea-80c94dc17803""}",,,"{""id"":1769061425,""name"":""Official Response"",""date"":""2023-09-13"",""comment"":""So glad you and your family created wonderful new memories, Roberta! Thank you for your stay!""}",0,,,,yes,,"0000-00-00 00:00:00"
7,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2022-08-01 00:00:00",1659312000,"Nina D.",,,,,29779664026,5,,"clean, fully equipped, lots of fun things like a foosball table, a hot tub, al fresco dining, decor house so fun...",,21,115,VRBO,,,,https://www.vrbo.com/1473621,,,"gorgeous home",,,,,,,"Foster City, CA, USA",,en,62e82aa1e0c8ce1b8954b57a,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""ade90c06-8dd0-3701-b680-6c3509a6b68c""}",,,"{""id"":1769061426,""name"":""Official Response"",""date"":""2023-09-13"",""comment"":""Thank you for your stay, Nina! So glad you and your guest party enjoyed the house and its amenities. We welcome you back any time. Laura""}",0,,,,yes,,"0000-00-00 00:00:00"
8,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2022-07-26 00:00:00",1658793600,"Lauren C.",,,,,29779664029,5,,"This property was perfectly located between Truckee and Tahoe (just a quick 15-20 min drive to both). The property is gorgeous, clean and perfect for groups. Check in and check out instructions were long but were more geared toward longer stays than a quick weekend. The owner was really easy to work with and communicative. Check out and in was easy. I would 100% recommend to a friend.",,67,387,VRBO,,,,https://www.vrbo.com/1473621,,,"Short Weekend at Tahoe/Truckee",,,,,,,"Napa, CA",,en,62e00d6220479a46e1073431,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""2a49cd0e-a4b0-3af8-b0f6-db2cbbf4cdf8""}",,,"{""id"":1769061427,""name"":""Official Response"",""date"":""2023-09-13"",""comment"":""Very much appreciate your review, Lauren. So glad your group had a wonderful time! Some of the instructions indeed aren't applicable to every stay, but hopefully, you found the format easy to scan and find those applicable. Thanks for taking good care of the home. We welcome you back!""}",0,,,,yes,,"0000-00-00 00:00:00"
9,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2022-02-25 00:00:00",1645747200,"Nathan S.",,,,,29779664031,5,,"Stayed in Feb 2022 with a party of 11 (6 adults, 5 kids under 11). Loved the hot tub, sauna, cozy living room, sledding out the back door with the provided sleds. Well insulated, not at all drafty, good separation of living and sleeping spaces. Kitchen had everything we needed. Would definitely stay again.",,49,307,VRBO,,,,https://www.vrbo.com/1473621,,,"Cozy retreat with great amenities",,,,,,,"Belmont, CA",,en,62195ec371588058dc9f413d,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""1f81ddd9-8dca-325d-abdd-adf7086c50a1""}",,,"{""id"":1769061428,""name"":""Official Response"",""date"":""2023-09-13"",""comment"":""Thank you for the kind words, Nathan. So glad you enjoyed the house inside and the great sledding hill out back. We welcome you back any time!""}",0,,,,yes,,"0000-00-00 00:00:00"
10,VRBOWolfTree_rfVRBO,"VRBO Wolf Tree","2022-02-09 00:00:00",1644364800,"Alex V.",,,,,29779664032,5,,"Good location, house is large and clean.",,7,40,VRBO,,,,https://www.vrbo.com/1473621,,,"Great stay",,,,,,,"LOS ALTOS HILLS, CA",,en,6204416a52229f6e61de00db,"{""review_source"":""vrbo"",""likes"":0,""datashake_review_uuid"":""80c05f78-dc1e-3074-bcc4-c898e4b3aa0b""}",,,"{""id"":1769061429,""name"":""Official Response"",""date"":""2023-09-13"",""comment"":""Thanks, Alex. Glad you and your family enjoyed the home. Thanks for taking good care of it. Would love to host you again!""}",0,,,,yes,,"0000-00-00 00:00:00"
